deploymentID,locationID,locationName,longitude,latitude,coordinateUncertainty,start,end,setupBy,cameraID,cameraModel,cameraInterval,cameraHeight,cameraTilt,cameraHeading,timestampIssues,baitUse,session,array,featureType,habitat,tags,comments,_id
2e8f9cab-c459-4847-a8af-7f9f98107316,8ab05123-c63b-4c80-9233-588d1ed73769,ARTIS Salmhuisje 0213,4.91969,52.36463,,2021-10-01T12:00:20+01:00,2021-10-31T12:00:19+01:00,Rotem Zilber,4b3aae44-e9dd-4dea-8ef1-89e95f6897fb,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,,,,null,
30f3be63-7f11-46a9-bee3-427362b589c6,8ab05123-c63b-4c80-9233-588d1ed73769,ARTIS Salmhuisje 0213,4.91969,52.36463,,2022-02-01T12:00:25+01:00,2022-02-28T12:36:24+01:00,Rotem Zilber,4b3aae44-e9dd-4dea-8ef1-89e95f6897fb,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
325832f1-6ec8-47f9-b87c-ef4dba958bad,ea5a9d5f-c535-4af0-b504-96fc02dc6905,ARTIS Mammal House Roof 0180,4.91595,52.36636,,2022-03-01T08:34:15+01:00,2022-03-31T12:00:18+01:00,Rotem Zilber,dee54543-2120-4951-91b5-906f02f95cc9,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
35a08252-ee98-4f66-a95d-f06f5dd6b3d2,cf103cde-92c7-4332-b3c2-af17c9bdb849,ARTIS Wolves 0168,4.91805,52.36519,,2021-08-20T15:53:28+01:00,2021-08-31T15:45:54+01:00,Rotem Zilber,7b3d18bc-a500-47e2-b3da-dafb51ba53cf,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
37300a65-782b-4a1e-aea8-ba0340e8ec68,31b61d01-57e2-4f11-b825-4d4625cf509e,ARTIS Spider Monkeys Dock 0258,4.91483,52.36718,,2022-02-15T05:50:50+01:00,2022-02-28T18:10:15+01:00,Rotem Zilber,3242a952-4908-4adf-8187-d5ca2aa6c01c,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
37c3cb58-a881-482a-abb1-f2885c451163,83d2cb3e-a5d9-45be-abf0-2e1d74655c99,ARTIS Monkey Island 0186,4.91479,52.36623,,2022-08-01T09:31:35+01:00,2022-08-31T19:13:36+01:00,Rotem Zilber,0545f29d-c996-4788-b4f9-636744a2b307,Snyper Hunting Products-Snyper Commander 4G,,,,,,none,,,none,,,,
37c588f0-334e-4caf-818d-f9655da00d78,b9cc478b-ac06-47de-bd47-f62f46993146,ARTIS Kinderboerderij 0188,4.91333,52.36667,,2022-08-01T12:00:24+01:00,2022-08-31T12:00:24+01:00,Rotem Zilber,7ecd147e-572a-4f69-be53-0434e945a4a9,Snyper Hunting Products-Snyper Commander 4G,,,,,,none,,,,,,,
38197de4-ff57-4291-9702-9afe5680ab04,d1ac2caa-bf89-42f5-a95a-261ca8815b70,ARTIS Emus 0161,4.91861,52.36472,,2021-11-01T09:40:34+01:00,2021-11-30T16:57:16+01:00,Rotem Zilber,27d468e4-fe6c-4805-9d6d-a37e47b761f5,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,,,,,
3a494d1e-1bf2-4062-844c-e957ef60fb15,40acc9a6-b67e-4c28-b87d-608de88c3c4e,ARTIS Mammal House 0164,4.91634,52.36625,,2022-09-01T08:27:00+01:00,2022-09-30T14:24:25+01:00,Rotem Zilber,67fc77cb-e5da-4800-9175-5bd7bd25cf97,Snyper Hunting Products-Snyper Commander 4G,,,,,,none,,,none,,,null,
3d679aa2-501d-4eea-8358-3093b22a9635,8ab05123-c63b-4c80-9233-588d1ed73769,ARTIS Salmhuisje 0213,4.91969,52.36463,,2021-08-21T06:26:56+01:00,2021-08-31T18:26:55+01:00,Rotem Zilber,4b3aae44-e9dd-4dea-8ef1-89e95f6897fb,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,,,,,
3f88c2ec-6288-428c-9442-5ec9dfdfac06,b9cc478b-ac06-47de-bd47-f62f46993146,ARTIS Kinderboerderij 0188,4.91333,52.36667,,2022-01-01T12:00:20+01:00,2022-01-31T12:00:18+01:00,Rotem Zilber,7ecd147e-572a-4f69-be53-0434e945a4a9,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,,,,null,
420f37f7-e975-4625-b7c0-747e9f034831,40171410-f514-4109-97fc-5086212c0f9b,ARTIS Insects Greenhouse 0184,4.91953,52.36568,,2022-05-01T10:02:47+01:00,2022-05-31T15:56:22+01:00,Rotem Zilber,94d0fe51-9087-48bf-a62e-75f0adc1baca,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
43fee2cf-f4c0-4b91-8178-d87002fcfd75,13af2c1f-1984-4b25-a250-23267642af5e,ARTIS 26 0169,4.91626,52.36563,,2022-10-01T09:49:28+01:00,2022-10-31T12:18:09+01:00,Rotem Zilber,370c7db3-2573-42e9-9f8a-1534460be5ac,Snyper Hunting Products-Snyper Commander 4G,,,,,,none,,,none,,,null,
469968d0-a832-4ac7-9ff9-ebc0a4481c43,13af2c1f-1984-4b25-a250-23267642af5e,ARTIS 26 0169,4.91626,52.36563,,2021-11-01T00:21:04+01:00,2021-11-30T19:52:49+01:00,Rotem Zilber,370c7db3-2573-42e9-9f8a-1534460be5ac,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
47f22b0b-b1b4-4cf8-915e-b7bd8cca6158,8ab05123-c63b-4c80-9233-588d1ed73769,ARTIS Salmhuisje 0213,4.91969,52.36463,,2022-07-01T07:12:22+01:00,2022-07-31T12:00:26+01:00,Rotem Zilber,4b3aae44-e9dd-4dea-8ef1-89e95f6897fb,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,,,,,
4999226b-e06e-414b-999c-1b4f71eaa12b,13af2c1f-1984-4b25-a250-23267642af5e,ARTIS 26 0169,4.91626,52.36563,,2021-10-01T00:22:37+01:00,2021-10-31T23:58:50+01:00,Rotem Zilber,370c7db3-2573-42e9-9f8a-1534460be5ac,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
4bae5a5e-ad8f-4d34-942c-5a9272a2139a,93a5a12e-b58d-4dd7-a7c9-fd14b6b902ca,ARTIS Spider Monkeys 0170,4.91472,52.36718,,2022-07-01T09:23:49+01:00,2022-07-31T23:56:53+01:00,Rotem Zilber,43807176-f67a-454c-8340-0262a5a0a932,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,null,
4bc07ff2-0230-4c13-adb9-e2c17a84e95a,40171410-f514-4109-97fc-5086212c0f9b,ARTIS Insects Greenhouse 0184,4.91953,52.36568,,2022-02-01T03:54:49+01:00,2022-02-28T12:00:22+01:00,Rotem Zilber,94d0fe51-9087-48bf-a62e-75f0adc1baca,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
4d0a5911-98d1-4454-86d7-d7b55473360a,83d2cb3e-a5d9-45be-abf0-2e1d74655c99,ARTIS Monkey Island 0186,4.91479,52.36623,,2022-10-01T12:00:27+01:00,2022-10-31T12:00:24+01:00,Rotem Zilber,0545f29d-c996-4788-b4f9-636744a2b307,Snyper Hunting Products-Snyper Commander 4G,,,,,,none,,,none,,,,
4daa5ee1-5fe9-491e-bf8c-9f348ef79926,40171410-f514-4109-97fc-5086212c0f9b,ARTIS Insects Greenhouse 0184,4.91953,52.36568,,2022-04-01T12:00:20+01:00,2022-04-30T12:00:24+01:00,Rotem Zilber,94d0fe51-9087-48bf-a62e-75f0adc1baca,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
4df3e308-d5b3-4f23-9b07-7fd5bfb3f5cb,93a5a12e-b58d-4dd7-a7c9-fd14b6b902ca,ARTIS Spider Monkeys 0170,4.91472,52.36718,,2022-11-01T01:07:21+01:00,2022-11-30T22:02:38+01:00,Rotem Zilber,43807176-f67a-454c-8340-0262a5a0a932,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
500f4c0a-623b-4dd4-8455-a846339884d0,cf103cde-92c7-4332-b3c2-af17c9bdb849,ARTIS Wolves 0168,4.91805,52.36519,,2022-03-01T07:15:10+01:00,2022-03-16T15:04:49+01:00,Rotem Zilber,7b3d18bc-a500-47e2-b3da-dafb51ba53cf,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,none,,,,
508db59f-cd26-4e4c-bfcb-6a5987cfe6cd,31b61d01-57e2-4f11-b825-4d4625cf509e,ARTIS Spider Monkeys Dock 0258,4.91483,52.36718,,2021-09-16T06:24:27+01:00,2021-09-30T13:46:52+01:00,Rotem Zilber,3242a952-4908-4adf-8187-d5ca2aa6c01c,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,,,,,
