deploymentID,locationID,locationName,longitude,latitude,coordinateUncertainty,start,end,setupBy,cameraID,cameraModel,cameraInterval,cameraHeight,cameraTilt,cameraHeading,timestampIssues,baitUse,session,array,featureType,habitat,tags,comments,_id
28d30589-4c76-4517-8a67-2651a214fd3f,d80e73d8-8abe-4b36-81b8-4c7ff03dd7da,flevopark_3,4.95035,52.36167,,2021-11-12T19:59:07+01:00,2021-11-24T12:37:14+01:00,,,,,,,,,scent,,,,,,,
2962b0be-29ef-44db-8e0a-c3e56adb0b5d,c5b48585-9e3d-43fb-8a68-cd30f88a01f2,flevopark_5,4.94919,52.36140,,2021-09-09T14:02:15+01:00,2021-11-11T13:54:56+01:00,,,,,,,,,scent,,,,,,,
2d85d45d-50c6-4b28-9928-2a02fa7947d5,,,,,,,,,,,,,,,,,,,,,,,
2de3fba7-4c63-4382-a520-2a140e41892a,64c6c826-2ef1-4bf8-b14a-1dbde887498a,flevopark_4,4.94838,52.36188,,2021-11-11T14:18:18+01:00,2021-11-24T13:11:31+01:00,,,,,,,,,scent,,,,,,,
30d2a574-1db1-4f76-912b-5d75bab81ac0,fb15f4c8-7e56-4df8-86e3-469a6232d028,flevopark_9,4.94795,52.35861,,2021-11-11T16:19:47+01:00,2021-11-18T14:22:21+01:00,,,,,,,,,scent,,,,,,,
334309b0-a438-4df2-b9dc-392460df987a,a405dfbd-ca7a-46f1-8783-5c4d96a1aace,flevopark_2,4.95183,52.36102,,2021-11-24T12:04:54+01:00,2021-12-02T11:12:16+01:00,,,,,,,,,,,,,,,null,
35c1d017-86d8-405d-a397-0c439293145e,6a29a6fe-f24f-47e8-a714-b2d7f1b97833,flevopark_11,4.94898,52.35951,,2021-11-18T13:42:27+01:00,2021-11-24T14:08:41+01:00,,,,,,,,,scent,,,,,,,
36d8f92c-5bef-4eb6-8adf-1c205766770e,21afebe6-cb82-4c66-8d45-a8452e9d42e6,flevopark_13,4.94960,52.36197,,2021-09-28T12:22:21+01:00,2021-11-11T14:39:32+01:00,,,,,,,,,scent,,,,,,,
394ef3f3-26dc-4480-9ddb-9bf958f998ec,d80e73d8-8abe-4b36-81b8-4c7ff03dd7da,flevopark_3,4.95035,52.36167,,2021-10-28T13:59:59+01:00,2021-11-11T13:37:48+01:00,,,,,,,,,scent,,,,,,,
413c5cc2-28bd-4a39-b63b-c6885598b57a,2eb9a2d0-9add-4a6d-8585-df3a5a2ebefd,flevopark_1,4.95059,52.36087,,2021-12-02T11:36:17+01:00,2021-12-09T11:03:07+01:00,,,,,,,,,scent,,,,,,null,
