locationName,start,end,runtime (sec)
flevopark_11,2021-11-25 20:46:20,2021-11-25 21:59:22,4382.0
flevopark_11,2021-11-25 18:23:10,2021-11-25 20:45:58,8568.0
flevopark_11,2021-11-25 07:23:10,2021-11-25 08:55:40,5550.0
flevopark_11,2021-11-27 20:46:20,2021-11-27 21:51:59,3939.0
flevopark_11,2021-11-28 18:23:10,2021-11-28 20:43:04,8394.0
flevopark_11,2021-11-26 07:23:10,2021-11-26 08:58:25,5715.0
flevopark_11,2021-11-28 07:23:10,2021-11-28 08:50:42,5252.0
flevopark_11,2021-11-28 05:00:00,2021-11-28 07:22:52,8572.0
flevopark_12,2021-11-24 20:46:20,2021-11-24 21:59:54,4414.0
flevopark_12,2021-11-30 05:00:00,2021-11-30 05:09:55,595.0
flevopark_12,2021-11-15 07:23:10,2021-11-15 08:58:23,5713.0
flevopark_12,2021-11-25 07:23:10,2021-11-25 08:55:34,5544.0
flevopark_12,2021-11-15 16:00:00,2021-11-15 18:22:33,8553.0
flevopark_12,2021-11-26 20:46:20,2021-11-26 21:59:34,4394.0
flevopark_12,2021-11-15 20:46:20,2021-11-15 21:59:38,4398.0
flevopark_12,2021-11-27 16:00:00,2021-11-27 18:22:51,8571.0
flevopark_12,2021-11-26 07:23:10,2021-11-26 08:53:20,5410.0
flevopark_12,2021-11-29 07:23:10,2021-11-29 08:59:53,5803.0
flevopark_12,2021-11-28 20:46:20,2021-11-28 21:58:52,4352.0
flevopark_12,2021-11-27 05:00:00,2021-11-27 07:10:05,7805.0
flevopark_12,2021-11-29 05:00:00,2021-11-29 07:14:31,8071.0
flevopark_12,2021-11-28 05:00:00,2021-11-28 07:23:06,8586.0
flevopark_12,2021-12-01 16:00:00,2021-12-01 16:06:17,377.0
flevopark_12,2021-11-28 07:23:10,2021-11-28 08:59:56,5806.0
flevopark_12,2021-11-28 16:00:00,2021-11-28 18:21:49,8509.0
flevopark_12,2021-11-27 20:46:20,2021-11-27 21:59:31,4391.0
flevopark_12,2021-11-27 07:23:10,2021-11-27 08:59:20,5770.0
flevopark_12,2021-11-29 16:00:00,2021-11-29 18:13:13,7993.0
flevopark_12,2021-11-28 18:23:10,2021-11-28 20:45:47,8557.0
flevopark_12,2021-11-15 18:23:10,2021-11-15 20:45:51,8561.0
flevopark_12,2021-11-24 18:23:10,2021-11-24 20:46:04,8574.0
flevopark_12,2021-11-26 05:00:00,2021-11-26 07:22:51,8571.0
flevopark_12,2021-11-25 20:46:20,2021-11-25 21:58:44,4344.0
flevopark_12,2021-11-16 07:23:10,2021-11-16 08:59:52,5802.0
flevopark_12,2021-11-26 18:23:10,2021-11-26 20:42:15,8345.0
flevopark_12,2021-11-25 05:00:00,2021-11-25 07:20:40,8440.0
flevopark_12,2021-11-26 16:00:00,2021-11-26 18:13:26,8006.0
flevopark_12,2021-11-30 16:00:00,2021-11-30 16:12:28,748.0
flevopark_12,2021-11-27 18:23:10,2021-11-27 20:46:17,8587.0
flevopark_12,2021-11-16 05:00:00,2021-11-16 07:22:20,8540.0
flevopark_12,2021-11-25 18:23:10,2021-11-25 20:45:44,8554.0
flevopark_13,2021-09-28 16:00:00,2021-09-28 18:23:07,8587.0
flevopark_13,2021-10-06 16:00:00,2021-10-06 16:03:33,213.0
flevopark_13,2021-11-26 18:23:10,2021-11-26 20:44:59,8509.0
flevopark_13,2021-09-30 20:46:20,2021-09-30 22:00:00,4420.0
flevopark_13,2021-11-25 16:00:00,2021-11-25 18:19:26,8366.0
flevopark_13,2021-12-02 05:00:00,2021-12-02 05:07:47,467.0
flevopark_13,2021-11-26 05:00:00,2021-11-26 07:23:09,8589.0
flevopark_13,2021-09-29 05:00:00,2021-09-29 07:22:59,8579.0
flevopark_13,2021-11-25 18:23:10,2021-11-25 20:23:22,7212.0
flevopark_13,2021-11-27 18:23:10,2021-11-27 20:46:12,8582.0
flevopark_13,2021-09-30 18:23:10,2021-09-30 20:46:18,8588.0
flevopark_13,2021-10-01 20:46:20,2021-10-01 22:00:00,4420.0
flevopark_13,2021-09-29 20:46:20,2021-09-29 21:59:54,4414.0
flevopark_13,2021-11-24 20:46:20,2021-11-24 21:58:35,4335.0
flevopark_13,2021-10-01 18:23:10,2021-10-01 20:46:10,8580.0
flevopark_13,2021-10-04 16:00:00,2021-10-04 16:06:52,412.0
flevopark_13,2021-10-09 16:00:00,2021-10-09 16:00:13,13.0
flevopark_13,2021-09-30 07:23:10,2021-09-30 08:59:08,5758.0
flevopark_13,2021-10-01 07:23:10,2021-10-01 08:59:43,5793.0
flevopark_13,2021-09-29 18:23:10,2021-09-29 20:46:18,8588.0
