deploymentID,locationName,longitude,latitude,start_utc,end_utc,running_time(sec)
818d7bf2-cb92-42e1-9068-1c743f71a0b1,flevopark_2,4.95183,52.36102,2021-12-09 09:52:16,2021-12-16 10:51:09,608333.0
334309b0-a438-4df2-b9dc-392460df987a,flevopark_2,4.95183,52.36102,2021-11-24 11:04:54,2021-12-02 10:12:16,688042.0
23823b1f-dd09-4120-953c-ec2fde2b1b97,flevopark_3,4.95035,52.36167,2021-09-28 10:44:18,2021-10-28 12:58:59,2600081.0
28d30589-4c76-4517-8a67-2651a214fd3f,flevopark_3,4.95035,52.36167,2021-11-12 18:59:07,2021-11-24 11:37:14,1010287.0
993bdc0c-8893-463e-99de-76413a7786de,flevopark_3,4.95035,52.36167,2021-11-24 11:38:37,2021-12-02 10:50:40,688323.0
4b2815e9-2794-4e14-8ed2-04128d8e397e,flevopark_3,4.95035,52.36167,2021-12-09 10:24:41,2021-12-16 11:25:17,608436.0
394ef3f3-26dc-4480-9ddb-9bf958f998ec,flevopark_3,4.95035,52.36167,2021-10-28 12:59:59,2021-11-11 12:37:48,1208269.0
2de3fba7-4c63-4382-a520-2a140e41892a,flevopark_4,4.94838,52.36188,2021-11-11 13:18:18,2021-11-24 12:11:31,1119193.0
4b2922c8-5290-431c-b9c9-b97c0fca9292,flevopark_4,4.94838,52.36188,2021-11-24 12:13:12,2021-12-02 11:18:57,687945.0
1ed02769-2efc-4a3d-bc15-881e2f0a4c4f,flevopark_4,4.94838,52.36188,2021-12-09 11:10:25,2021-12-16 12:03:17,607972.0
5a6d4d06-e605-4620-93a4-2fb2c8efee78,flevopark_4,4.94838,52.36188,2021-12-02 11:21:32,2021-12-09 11:09:07,604055.0
b8b6b71e-e42e-4ce0-b378-f164743e157a,flevopark_4,4.94838,52.36188,2021-10-28 13:16:43,2021-11-11 13:07:50,1209067.0
bbaf00c8-5007-4af0-ac9c-4ae2b8c13056,flevopark_4,4.94838,52.36188,2021-09-28 11:27:14,2021-10-28 13:15:08,2598474.0
dd25a8a8-2215-4dff-9ea8-5956a0cf90ad,flevopark_5,4.94919,52.3614,2021-12-09 10:58:05,2021-12-16 11:46:43,607718.0
919ff575-752d-4808-9b83-2c066dee8ece,flevopark_5,4.94919,52.3614,2021-09-28 10:44:18,2021-10-28 13:23:32,2601554.0
7216f443-4658-4be4-8e0b-c0561eb4e016,flevopark_5,4.94919,52.3614,2021-11-24 12:01:00,2021-12-02 11:09:20,688100.0
2962b0be-29ef-44db-8e0a-c3e56adb0b5d,flevopark_5,4.94919,52.3614,2021-09-09 13:02:15,2021-11-11 12:54:56,5442761.0
50e0660e-3f27-417d-9ff3-55d7a06314f6,flevopark_5,4.94919,52.3614,2021-12-02 13:01:38,2021-12-09 10:56:59,597321.0
580667d1-b782-401a-82df-dbc53f39b34b,flevopark_5,4.94919,52.3614,2021-11-11 13:03:32,2021-11-24 11:59:25,1119353.0
74e7b08a-05e2-4532-ac8b-43085c55fc1d,flevopark_6,4.94794,52.36054,2021-12-02 11:36:53,2021-12-09 11:23:41,604008.0
da91e44d-f0e8-481f-8175-9785b3a84f08,flevopark_6,4.94794,52.36054,2021-11-24 12:28:11,2021-12-02 11:35:18,688027.0
6b147dba-5ade-4b20-bce8-781cc744d16f,flevopark_6,4.94794,52.36054,2021-09-28 11:50:44,2021-10-02 14:12:03,354079.0
cda43df7-3ec0-4695-9f0b-c4a379af0af3,flevopark_6,4.94794,52.36054,2021-11-11 13:57:09,2021-11-24 12:25:55,1117726.0
5ac28910-8884-4c29-9a03-03d22945918f,flevopark_6,4.94794,52.36054,2021-10-02 14:12:03,2021-11-11 13:50:36,3454713.0
8724407c-9d2d-4c20-8471-40bd237db33b,flevopark_6,4.94794,52.36054,2021-12-09 11:24:49,2021-12-16 12:15:51,607862.0
78a2c769-1cec-424c-ae46-b286de13db70,flevopark_7,4.94783,52.36,2021-09-16 10:24:33,2021-11-11 14:09:18,4851885.0
cfcebc8e-f265-4dc2-b39b-4090ae7534cf,flevopark_7,4.94783,52.36,2021-11-11 14:11:30,2021-11-24 12:46:16,1118086.0
0541e710-6581-48a8-b0ea-1fec92495b0e,flevopark_7,4.94783,52.36,2021-12-02 11:57:19,2021-12-02 16:06:50,14971.0
5aadf9b0-f354-49ff-a356-898d4b8e3874,flevopark_7,4.94783,52.36,2019-12-31 23:06:06,2020-01-07 23:53:29,607643.0
6e87c625-407a-4c00-a952-6dd6ce46f5d0,flevopark_7,4.94783,52.36,2021-11-24 12:47:21,2021-12-02 11:56:53,688172.0
624b7fea-6051-4e79-be13-7c3cbdfcfa1e,flevopark_8,4.94768,52.35905,2021-11-24 13:41:19,2021-12-02 12:30:37,686958.0
da7b4661-825f-48b6-9fef-9d4d1e42bc4e,flevopark_8,4.94768,52.35905,2021-12-02 12:32:44,2021-12-09 12:45:08,605544.0
8ee41237-faf4-4253-80f4-4e85902250f2,flevopark_8,4.94768,52.35905,2021-12-09 12:47:00,2021-12-15 16:14:21,530841.0
ec3fd775-5bde-4d1d-83ab-a9c12681757d,flevopark_8,4.94768,52.35905,2021-09-08 15:20:45,2021-11-11 15:30:12,5530167.0
16304a54-3cfd-44ab-b9c4-f45f0f1d972c,flevopark_8,4.94768,52.35905,2021-11-11 15:33:12,2021-11-24 13:40:09,1116417.0
9e9dc900-8bf7-429f-badd-ef6b8dbea9e1,flevopark_9,4.94795,52.35861,2021-11-18 13:23:29,2021-11-24 13:32:10,518921.0
53a7cb3a-0aa9-4cd8-9d4b-815dcd872bf9,flevopark_9,4.94795,52.35861,2021-09-16 11:23:52,2021-11-11 15:18:36,4852484.0
9d4c2554-12e5-4745-8faa-9a7c8ec10a15,flevopark_9,4.94795,52.35861,2021-12-09 12:35:21,2021-12-16 13:17:21,607320.0
30d2a574-1db1-4f76-912b-5d75bab81ac0,flevopark_9,4.94795,52.35861,2021-11-11 15:19:47,2021-11-18 13:22:21,597754.0
5a68a13b-edbb-46d3-9c90-0c6e994b88a8,flevopark_9,4.94795,52.35861,2021-12-02 12:40:40,2021-12-09 12:34:48,604448.0
c4f6cf18-dd25-405d-b3a4-88132fa9f29b,flevopark_9,4.94795,52.35861,2021-11-24 13:33:22,2021-12-02 12:39:03,687941.0
